Provider ID,Payment measure ID,Payment category,Lower estimate,Higher estimate,Value of care display name,Value of care category
280009,PAYM_90_HIP_KNEE,Less than the National Average Payment,"$19,216 ","$20,290 ",Value of Care hip/knee replacement measure,Average complications and lower payment
280009,PAYM_30_PN,No Different than the National Average Payment,"$16,587 ","$19,207 ",Value of Care Pneumonia measure,Average mortality and average payment
280013,PAYM_30_AMI,No Different than the National Average Payment,"$20,874 ","$24,724 ",Value of Care Heart Attack measure,Average mortality and average payment
280013,PAYM_30_HF,No Different than the National Average Payment,"$16,226 ","$18,428 ",Value of Care Heart Failure measure,Average mortality and average payment
280013,PAYM_90_HIP_KNEE,No Different than the National Average Payment,"$21,628 ","$23,179 ",Value of Care hip/knee replacement measure,Average complications and average payment
280013,PAYM_30_PN,Greater than the National Average Payment,"$17,433 ","$19,658 ",Value of Care Pneumonia measure,Average mortality and higher payment
280020,PAYM_30_AMI,No Different than the National Average Payment,"$22,108 ","$27,853 ",Value of Care Heart Attack measure,Average mortality and average payment
280020,PAYM_30_HF,No Different than the National Average Payment,"$16,364 ","$19,126 ",Value of Care Heart Failure measure,Average mortality and average payment
280020,PAYM_90_HIP_KNEE,Less than the National Average Payment,"$19,757 ","$20,792 ",Value of Care hip/knee replacement measure,Average complications and lower payment
280020,PAYM_30_PN,No Different than the National Average Payment,"$16,942 ","$18,886 ",Value of Care Pneumonia measure,Average mortality and average payment
280023,PAYM_30_AMI,No Different than the National Average Payment,"$20,841 ","$25,242 ",Value of Care Heart Attack measure,Average mortality and average payment
280023,PAYM_30_HF,No Different than the National Average Payment,"$14,380 ","$16,716 ",Value of Care Heart Failure measure,Average mortality and average payment
280023,PAYM_90_HIP_KNEE,No Different than the National Average Payment,"$20,515 ","$21,986 ",Value of Care hip/knee replacement measure,Average complications and average payment
280023,PAYM_30_PN,No Different than the National Average Payment,"$15,779 ","$17,443 ",Value of Care Pneumonia measure,Average mortality and average payment
280032,PAYM_30_AMI,No Different than the National Average Payment,"$22,698 ","$28,885 ",Value of Care Heart Attack measure,Average mortality and average payment
280032,PAYM_30_HF,No Different than the National Average Payment,"$14,557 ","$17,458 ",Value of Care Heart Failure measure,Worse mortality and average payment
280032,PAYM_90_HIP_KNEE,No Different than the National Average Payment,"$21,914 ","$23,810 ",Value of Care hip/knee replacement measure,Average complications and average payment
280032,PAYM_30_PN,No Different than the National Average Payment,"$16,110 ","$18,447 ",Value of Care Pneumonia measure,Worse mortality and average payment
280040,PAYM_30_AMI,No Different than the National Average Payment,"$22,585 ","$26,933 ",Value of Care Heart Attack measure,Average mortality and average payment
280040,PAYM_30_HF,No Different than the National Average Payment,"$16,084 ","$18,367 ",Value of Care Heart Failure measure,Average mortality and average payment
280040,PAYM_90_HIP_KNEE,Less than the National Average Payment,"$20,867 ","$21,916 ",Value of Care hip/knee replacement measure,Average complications and lower payment
280040,PAYM_30_PN,Greater than the National Average Payment,"$17,553 ","$19,163 ",Value of Care Pneumonia measure,Average mortality and higher payment
280060,PAYM_30_AMI,No Different than the National Average Payment,"$23,079 ","$27,178 ",Value of Care Heart Attack measure,Average mortality and average payment
280060,PAYM_30_HF,Greater than the National Average Payment,"$17,278 ","$19,616 ",Value of Care Heart Failure measure,Average mortality and higher payment
280060,PAYM_90_HIP_KNEE,No Different than the National Average Payment,"$21,397 ","$22,978 ",Value of Care hip/knee replacement measure,Average complications and average payment
280060,PAYM_30_PN,Greater than the National Average Payment,"$17,928 ","$20,179 ",Value of Care Pneumonia measure,Average mortality and higher payment
280061,PAYM_30_AMI,No Different than the National Average Payment,"$22,461 ","$28,336 ",Value of Care Heart Attack measure,Average mortality and average payment
280061,PAYM_30_HF,No Different than the National Average Payment,"$14,482 ","$17,446 ",Value of Care Heart Failure measure,Average mortality and average payment
280061,PAYM_90_HIP_KNEE,No Different than the National Average Payment,"$20,504 ","$22,469 ",Value of Care hip/knee replacement measure,Average complications and average payment
280061,PAYM_30_PN,No Different than the National Average Payment,"$16,428 ","$18,909 ",Value of Care Pneumonia measure,Average mortality and average payment
280065,PAYM_30_AMI,No Different than the National Average Payment,"$21,251 ","$25,826 ",Value of Care Heart Attack measure,Average mortality and average payment
280065,PAYM_30_HF,No Different than the National Average Payment,"$15,295 ","$18,076 ",Value of Care Heart Failure measure,Average mortality and average payment
280065,PAYM_90_HIP_KNEE,No Different than the National Average Payment,"$20,853 ","$22,772 ",Value of Care hip/knee replacement measure,Average complications and average payment
280065,PAYM_30_PN,No Different than the National Average Payment,"$15,859 ","$18,020 ",Value of Care Pneumonia measure,Average mortality and average payment
280077,PAYM_30_AMI,No Different than the National Average Payment,"$22,342 ","$28,597 ",Value of Care Heart Attack measure,Average mortality and average payment
280077,PAYM_30_HF,No Different than the National Average Payment,"$15,996 ","$19,350 ",Value of Care Heart Failure measure,Average mortality and average payment
280077,PAYM_90_HIP_KNEE,No Different than the National Average Payment,"$21,059 ","$24,104 ",Value of Care hip/knee replacement measure,Average complications and average payment
280077,PAYM_30_PN,No Different than the National Average Payment,"$15,481 ","$17,988 ",Value of Care Pneumonia measure,Average mortality and average payment
280081,PAYM_30_AMI,No Different than the National Average Payment,"$21,612 ","$27,141 ",Value of Care Heart Attack measure,Average mortality and average payment
280081,PAYM_30_HF,Greater than the National Average Payment,"$17,017 ","$20,497 ",Value of Care Heart Failure measure,Average mortality and higher payment
280081,PAYM_90_HIP_KNEE,Less than the National Average Payment,"$19,600 ","$21,494 ",Value of Care hip/knee replacement measure,Average complications and lower payment
280081,PAYM_30_PN,Greater than the National Average Payment,"$18,301 ","$21,156 ",Value of Care Pneumonia measure,Average mortality and higher payment
280105,PAYM_30_AMI,No Different than the National Average Payment,"$20,945 ","$27,040 ",Value of Care Heart Attack measure,Average mortality and average payment
280105,PAYM_30_HF,No Different than the National Average Payment,"$14,200 ","$17,693 ",Value of Care Heart Failure measure,Average mortality and average payment
280105,PAYM_90_HIP_KNEE,No Different than the National Average Payment,"$18,992 ","$23,091 ",Value of Care hip/knee replacement measure,Average complications and average payment
280105,PAYM_30_PN,No Different than the National Average Payment,"$16,269 ","$19,280 ",Value of Care Pneumonia measure,Average mortality and average payment
280111,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
280111,PAYM_30_HF,No Different than the National Average Payment,"$15,442 ","$18,952 ",Value of Care Heart Failure measure,Average mortality and average payment
280111,PAYM_90_HIP_KNEE,No Different than the National Average Payment,"$20,385 ","$22,869 ",Value of Care hip/knee replacement measure,Average complications and average payment
280111,PAYM_30_PN,No Different than the National Average Payment,"$15,140 ","$18,202 ",Value of Care Pneumonia measure,Average mortality and average payment
280125,PAYM_30_AMI,Greater than the National Average Payment,"$25,291 ","$30,487 ",Value of Care Heart Attack measure,Average mortality and higher payment
280125,PAYM_30_HF,Greater than the National Average Payment,"$17,215 ","$20,193 ",Value of Care Heart Failure measure,Average mortality and higher payment
280125,PAYM_90_HIP_KNEE,Greater than the National Average Payment,"$24,058 ","$26,109 ",Value of Care hip/knee replacement measure,Average complications and higher payment
280125,PAYM_30_PN,No Different than the National Average Payment,"$16,825 ","$19,528 ",Value of Care Pneumonia measure,Average mortality and average payment
280127,PAYM_30_AMI,Not Available,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
280127,PAYM_30_HF,Not Available,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
280127,PAYM_90_HIP_KNEE,Less than the National Average Payment,"$19,083 ","$19,878 ",Value of Care hip/knee replacement measure,Average complications and lower payment
280127,PAYM_30_PN,Not Available,Not Available,Not Available,Value of Care Pneumonia measure,Not Available
280128,PAYM_30_AMI,Greater than the National Average Payment,"$25,979 ","$30,858 ",Value of Care Heart Attack measure,Average mortality and higher payment
280128,PAYM_30_HF,No Different than the National Average Payment,"$16,307 ","$19,486 ",Value of Care Heart Failure measure,Average mortality and average payment
280128,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
280128,PAYM_30_PN,Number of Cases Too Small,Not Available,Not Available,Value of Care Pneumonia measure,Not Available
280129,PAYM_30_AMI,Not Available,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
280129,PAYM_30_HF,Not Available,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
280129,PAYM_90_HIP_KNEE,Less than the National Average Payment,"$19,978 ","$20,808 ",Value of Care hip/knee replacement measure,Average complications and lower payment
280129,PAYM_30_PN,Not Available,Not Available,Not Available,Value of Care Pneumonia measure,Not Available
280130,PAYM_30_AMI,No Different than the National Average Payment,"$21,994 ","$27,038 ",Value of Care Heart Attack measure,Average mortality and average payment
280130,PAYM_30_HF,No Different than the National Average Payment,"$15,480 ","$18,184 ",Value of Care Heart Failure measure,Average mortality and average payment
280130,PAYM_90_HIP_KNEE,No Different than the National Average Payment,"$21,477 ","$22,977 ",Value of Care hip/knee replacement measure,Average complications and average payment
280130,PAYM_30_PN,No Different than the National Average Payment,"$17,305 ","$19,644 ",Value of Care Pneumonia measure,Average mortality and average payment
280131,PAYM_30_AMI,Not Available,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
280131,PAYM_30_HF,Not Available,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
280131,PAYM_90_HIP_KNEE,Less than the National Average Payment,"$18,203 ","$19,597 ",Value of Care hip/knee replacement measure,Average complications and lower payment
280131,PAYM_30_PN,Not Available,Not Available,Not Available,Value of Care Pneumonia measure,Not Available
280132,PAYM_30_AMI,No Different than the National Average Payment,"$22,843 ","$27,612 ",Value of Care Heart Attack measure,Average mortality and average payment
280132,PAYM_30_HF,No Different than the National Average Payment,"$16,242 ","$19,577 ",Value of Care Heart Failure measure,Average mortality and average payment
280132,PAYM_90_HIP_KNEE,No Different than the National Average Payment,"$20,042 ","$23,252 ",Value of Care hip/knee replacement measure,Average complications and average payment
280132,PAYM_30_PN,Less than the National Average Payment,"$13,563 ","$16,115 ",Value of Care Pneumonia measure,Average mortality and lower payment
280133,PAYM_30_AMI,Not Available,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
280133,PAYM_30_HF,Not Available,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
280133,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
280133,PAYM_30_PN,Not Available,Not Available,Not Available,Value of Care Pneumonia measure,Not Available
280134,PAYM_30_AMI,Greater than the National Average Payment,"$26,269 ","$32,775 ",Value of Care Heart Attack measure,Average mortality and higher payment
280134,PAYM_30_HF,No Different than the National Average Payment,"$14,807 ","$18,744 ",Value of Care Heart Failure measure,Average mortality and average payment
280134,PAYM_90_HIP_KNEE,No Different than the National Average Payment,"$21,503 ","$23,325 ",Value of Care hip/knee replacement measure,Average complications and average payment
280134,PAYM_30_PN,No Different than the National Average Payment,"$15,869 ","$19,779 ",Value of Care Pneumonia measure,Average mortality and average payment
281300,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
281300,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
281300,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
281300,PAYM_30_PN,Number of Cases Too Small,Not Available,Not Available,Value of Care Pneumonia measure,Not Available
281301,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
281301,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
281301,PAYM_90_HIP_KNEE,Less than the National Average Payment,"$17,095 ","$19,480 ",Value of Care hip/knee replacement measure,Average complications and lower payment
281301,PAYM_30_PN,No Different than the National Average Payment,"$13,890 ","$18,348 ",Value of Care Pneumonia measure,Average mortality and average payment
281302,PAYM_30_AMI,Not Available,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
281302,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
281302,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
281302,PAYM_30_PN,No Different than the National Average Payment,"$15,315 ","$21,770 ",Value of Care Pneumonia measure,Not Available
281303,PAYM_30_AMI,Not Available,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
281303,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
281303,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
281303,PAYM_30_PN,Number of Cases Too Small,Not Available,Not Available,Value of Care Pneumonia measure,Not Available
281304,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
281304,PAYM_30_HF,No Different than the National Average Payment,"$14,768 ","$20,416 ",Value of Care Heart Failure measure,Average mortality and average payment
281304,PAYM_90_HIP_KNEE,No Different than the National Average Payment,"$17,680 ","$22,420 ",Value of Care hip/knee replacement measure,Average complications and average payment
281304,PAYM_30_PN,No Different than the National Average Payment,"$14,540 ","$19,433 ",Value of Care Pneumonia measure,Average mortality and average payment
281305,PAYM_30_AMI,Not Available,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
281305,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
281305,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
281305,PAYM_30_PN,No Different than the National Average Payment,"$15,454 ","$21,693 ",Value of Care Pneumonia measure,Average mortality and average payment
281306,PAYM_30_AMI,Not Available,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
281306,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
281306,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
281306,PAYM_30_PN,Number of Cases Too Small,Not Available,Not Available,Value of Care Pneumonia measure,Not Available
281307,PAYM_30_AMI,Not Available,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
281307,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
281307,PAYM_90_HIP_KNEE,Number of Cases Too Small,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
281307,PAYM_30_PN,No Different than the National Average Payment,"$16,605 ","$21,967 ",Value of Care Pneumonia measure,Average mortality and average payment
281308,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
281308,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
281308,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
281308,PAYM_30_PN,No Different than the National Average Payment,"$14,506 ","$20,711 ",Value of Care Pneumonia measure,Average mortality and average payment
281309,PAYM_30_AMI,Not Available,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
281309,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
281309,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
281309,PAYM_30_PN,No Different than the National Average Payment,"$14,700 ","$20,887 ",Value of Care Pneumonia measure,Average mortality and average payment
281310,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
281310,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
281310,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
281310,PAYM_30_PN,Number of Cases Too Small,Not Available,Not Available,Value of Care Pneumonia measure,Not Available
281311,PAYM_30_AMI,Not Available,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
281311,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
281311,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
281311,PAYM_30_PN,Number of Cases Too Small,Not Available,Not Available,Value of Care Pneumonia measure,Not Available
281312,PAYM_30_AMI,Not Available,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
281312,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
281312,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
281312,PAYM_30_PN,Number of Cases Too Small,Not Available,Not Available,Value of Care Pneumonia measure,Not Available
281313,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
281313,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
281313,PAYM_90_HIP_KNEE,Number of Cases Too Small,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
281313,PAYM_30_PN,No Different than the National Average Payment,"$15,124 ","$20,740 ",Value of Care Pneumonia measure,Average mortality and average payment
281314,PAYM_30_AMI,Not Available,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
281314,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
281314,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
281314,PAYM_30_PN,No Different than the National Average Payment,"$16,391 ","$22,103 ",Value of Care Pneumonia measure,Average mortality and average payment
281315,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
281315,PAYM_30_HF,No Different than the National Average Payment,"$16,247 ","$21,087 ",Value of Care Heart Failure measure,Average mortality and average payment
281315,PAYM_90_HIP_KNEE,Greater than the National Average Payment,"$23,858 ","$30,818 ",Value of Care hip/knee replacement measure,Average complications and higher payment
281315,PAYM_30_PN,Greater than the National Average Payment,"$17,494 ","$21,862 ",Value of Care Pneumonia measure,Average mortality and higher payment
281316,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
281316,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
281316,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
281316,PAYM_30_PN,Greater than the National Average Payment,"$18,268 ","$24,646 ",Value of Care Pneumonia measure,Average mortality and higher payment
281318,PAYM_30_AMI,Not Available,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
281318,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
281318,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
281318,PAYM_30_PN,No Different than the National Average Payment,"$12,654 ","$18,013 ",Value of Care Pneumonia measure,Average mortality and average payment
281319,PAYM_30_AMI,Not Available,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
281319,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
281319,PAYM_90_HIP_KNEE,No Different than the National Average Payment,"$19,283 ","$24,421 ",Value of Care hip/knee replacement measure,Average complications and average payment
281319,PAYM_30_PN,No Different than the National Average Payment,"$15,636 ","$20,247 ",Value of Care Pneumonia measure,Average mortality and average payment
281320,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
281320,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
281320,PAYM_90_HIP_KNEE,No Different than the National Average Payment,"$18,325 ","$22,482 ",Value of Care hip/knee replacement measure,Average complications and average payment
281320,PAYM_30_PN,No Different than the National Average Payment,"$15,498 ","$20,229 ",Value of Care Pneumonia measure,Average mortality and average payment
281321,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
281321,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
281321,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
281321,PAYM_30_PN,Greater than the National Average Payment,"$18,509 ","$24,484 ",Value of Care Pneumonia measure,Average mortality and higher payment
281322,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
281322,PAYM_30_HF,No Different than the National Average Payment,"$13,343 ","$18,022 ",Value of Care Heart Failure measure,Average mortality and average payment
281322,PAYM_90_HIP_KNEE,Greater than the National Average Payment,"$22,862 ","$26,997 ",Value of Care hip/knee replacement measure,Average complications and higher payment
281322,PAYM_30_PN,No Different than the National Average Payment,"$15,266 ","$19,627 ",Value of Care Pneumonia measure,Average mortality and average payment
281323,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
281323,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
281323,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
281323,PAYM_30_PN,Number of Cases Too Small,Not Available,Not Available,Value of Care Pneumonia measure,Not Available
281324,PAYM_30_AMI,Not Available,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
281324,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
281324,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
281324,PAYM_30_PN,No Different than the National Average Payment,"$14,606 ","$19,251 ",Value of Care Pneumonia measure,Average mortality and average payment
281325,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
281325,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
281325,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
281325,PAYM_30_PN,Number of Cases Too Small,Not Available,Not Available,Value of Care Pneumonia measure,Not Available
281326,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
281326,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
281326,PAYM_90_HIP_KNEE,Number of Cases Too Small,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
281326,PAYM_30_PN,Greater than the National Average Payment,"$18,090 ","$22,787 ",Value of Care Pneumonia measure,Average mortality and higher payment
281327,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
281327,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
281327,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
281327,PAYM_30_PN,No Different than the National Average Payment,"$13,360 ","$18,650 ",Value of Care Pneumonia measure,Average mortality and average payment
281328,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
281328,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
281328,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
281328,PAYM_30_PN,No Different than the National Average Payment,"$15,641 ","$19,783 ",Value of Care Pneumonia measure,Average mortality and average payment
281329,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
281329,PAYM_30_HF,No Different than the National Average Payment,"$14,613 ","$19,717 ",Value of Care Heart Failure measure,Average mortality and average payment
281329,PAYM_90_HIP_KNEE,No Different than the National Average Payment,"$21,564 ","$26,759 ",Value of Care hip/knee replacement measure,Average complications and average payment
281329,PAYM_30_PN,Less than the National Average Payment,"$13,972 ","$17,362 ",Value of Care Pneumonia measure,Average mortality and lower payment
281330,PAYM_30_AMI,Not Available,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
281330,PAYM_30_HF,Not Available,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
281330,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
281330,PAYM_30_PN,Not Available,Not Available,Not Available,Value of Care Pneumonia measure,Not Available
281331,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
281331,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
281331,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
281331,PAYM_30_PN,Greater than the National Average Payment,"$17,876 ","$24,249 ",Value of Care Pneumonia measure,Average mortality and higher payment
281332,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
281332,PAYM_30_HF,No Different than the National Average Payment,"$14,226 ","$19,652 ",Value of Care Heart Failure measure,Average mortality and average payment
281332,PAYM_90_HIP_KNEE,Greater than the National Average Payment,"$22,921 ","$27,910 ",Value of Care hip/knee replacement measure,Average complications and higher payment
281332,PAYM_30_PN,No Different than the National Average Payment,"$15,390 ","$20,758 ",Value of Care Pneumonia measure,Average mortality and average payment
281333,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
281333,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
281333,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
281333,PAYM_30_PN,Number of Cases Too Small,Not Available,Not Available,Value of Care Pneumonia measure,Not Available
281334,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
281334,PAYM_30_HF,No Different than the National Average Payment,"$14,439 ","$18,913 ",Value of Care Heart Failure measure,Average mortality and average payment
281334,PAYM_90_HIP_KNEE,No Different than the National Average Payment,"$20,050 ","$24,600 ",Value of Care hip/knee replacement measure,Average complications and average payment
281334,PAYM_30_PN,Greater than the National Average Payment,"$19,322 ","$22,816 ",Value of Care Pneumonia measure,Average mortality and higher payment
281335,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
281335,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
281335,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
281335,PAYM_30_PN,Less than the National Average Payment,"$12,485 ","$16,303 ",Value of Care Pneumonia measure,Average mortality and lower payment
281336,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
281336,PAYM_30_HF,No Different than the National Average Payment,"$14,846 ","$19,664 ",Value of Care Heart Failure measure,Average mortality and average payment
281336,PAYM_90_HIP_KNEE,Less than the National Average Payment,"$18,609 ","$21,193 ",Value of Care hip/knee replacement measure,Average complications and lower payment
281336,PAYM_30_PN,Less than the National Average Payment,"$12,777 ","$16,123 ",Value of Care Pneumonia measure,Average mortality and lower payment
281338,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
281338,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
281338,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
281338,PAYM_30_PN,No Different than the National Average Payment,"$16,442 ","$20,785 ",Value of Care Pneumonia measure,Average mortality and average payment
281339,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
