Provider ID,Hospital Name,Address,City,State,ZIP Code,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison
230024,SINAI-GRACE HOSPITAL,6071 W OUTER DRIVE,DETROIT,MI,48235,3139663300,Acute Care Hospitals,Proprietary,Yes,Y,1,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average
230029,ST JOSEPH MERCY OAKLAND,44405 WOODWARD AVE,PONTIAC,MI,48341,2488583000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
230030,MIDMICHIGAN MEDICAL CENTER-GRATIOT,300 E WARWICK DR,ALMA,MI,48801,9894631101,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
230031,LAKE HURON MEDICAL CENTER,2601 ELECTRIC AVENUE,PORT HURON,MI,48060,8109851500,Acute Care Hospitals,Voluntary non-profit - Church,No,Y,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Not Available
230035,SPECTRUM HEALTH UNITED HOSPITAL,615 S BOWER STREET,GREENVILLE,MI,48838,6167544691,Acute Care Hospitals,Voluntary non-profit - Other,No,Y,5,Same as the national average,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
230036,MIDMICHIGAN MEDICAL CENTER - ALPENA,1501 W CHISHOLM ST,ALPENA,MI,49707,9893567390,Acute Care Hospitals,Proprietary,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
230037,HILLSDALE HOSPITAL,168 S HOWELL STREET,HILLSDALE,MI,49242,5174374451,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
230038,SPECTRUM HEALTH - BUTTERWORTH CAMPUS,100 MICHIGAN ST NE,GRAND RAPIDS,MI,49503,6163911774,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average
230040,SPECTRUM HEALTH PENNOCK,1009 W GREEN ST,HASTINGS,MI,49058,2699453451,Acute Care Hospitals,Voluntary non-profit - Other,No,Y,2,Same as the national average,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average
230041,MCLAREN BAY REGION,1900 COLUMBUS AVE,BAY CITY,MI,48708,9898943000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
230046,UNIVERSITY OF MICHIGAN HEALTH SYSTEM,"1500 E MEDICAL CENTER DRIVE, SPC 5474",ANN ARBOR,MI,48109,7347641505,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Above the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Above the national average
230047,HENRY FORD MACOMB HOSPITAL,15855 NINETEEN MILE RD,CLINTON TOWNSHIP,MI,48038,5862632300,Acute Care Hospitals,Proprietary,Yes,Y,3,Above the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average
230053,HENRY FORD HOSPITAL,2799 W GRAND BLVD,DETROIT,MI,48202,3139162600,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
230054,UP HEALTH SYSTEM - MARQUETTE,420 W MAGNETIC,MARQUETTE,MI,49855,9062289440,Acute Care Hospitals,Government - Local,Yes,Y,3,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average
230055,DICKINSON COUNTY MEMORIAL HOSPITAL,1721 S STEPHENSON AVE,IRON MOUNTAIN,MI,49801,9067741313,Acute Care Hospitals,Government - Local,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
230058,MUNSON HEALTHCARE GRAYLING HOSPITAL,1100 E MICHIGAN AVE,GRAYLING,MI,49738,9893485461,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4,Same as the national average,Below the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
230059,SAINT MARYS HEALTH CARE,200 JEFFERSON AVENUE SE,GRAND RAPIDS,MI,49503,6166855000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4,Same as the national average,Below the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
230066,MERCY HEALTH MUSKEGON,1700 CLINTON STREET,MUSKEGON,MI,49442,2317263511,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
230069,SAINT JOSEPH MERCY LIVINGSTON HOSPITAL,620 BYRON RD,HOWELL,MI,48843,5175456000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
230070,COVENANT MEDICAL CENTER,1447 N HARRISON,SAGINAW,MI,48602,9895834000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
230071,STRAITH HOSPITAL FOR SPECIAL SURGERY,23901 LAHSER,SOUTHFIELD,MI,48033,2483573360,Acute Care Hospitals,Voluntary non-profit - Private,No,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
230072,HOLLAND COMMUNITY HOSPITAL,602 MICHIGAN AVE,HOLLAND,MI,49423,6163925141,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,Same as the national average,Above the national average,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average
230075,BRONSON BATTLE CREEK HOSPITAL,300 NORTH AVENUE,BATTLE CREEK,MI,49017,2699668000,Acute Care Hospitals,Proprietary,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average
230077,ST MARYS OF MICHIGAN MEDICAL CENTER,800 S WASHINGTON AVENUE,SAGINAW,MI,48601,9897768000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average
230078,LAKELAND HOSPITAL WATERVLIET,400 MEDICAL PARK DR,WATERVLIET,MI,49098,2694633111,Acute Care Hospitals,Voluntary non-profit - Private,No,Y,4,Not Available,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average
230080,MCLAREN CENTRAL MICHIGAN,1221 SOUTH DRIVE,MOUNT PLEASANT,MI,48858,9897726700,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
230081,MUNSON HEALTHCARE CADILLAC HOSPITAL,400 HOBART ST,CADILLAC,MI,49601,2318767200,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Above the national average
230085,BRONSON SOUTH HAVEN HOSPITAL,955 S BAILEY AVE,SOUTH HAVEN,MI,49090,2696375271,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
230089,"BEAUMONT HOSPITAL, GROSSE POINTE",468 CADIEUX RD,GROSSE POINTE,MI,48230,3133431000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,Above the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
230092,HENRY FORD ALLEGIANCE HEALTH,205 N EAST AVE,JACKSON,MI,49201,5177884800,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Above the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average
230093,SPECTRUM HEALTH BIG RAPIDS HOSPITAL,605 OAK STREET,BIG RAPIDS,MI,49307,2317968691,Acute Care Hospitals,Government - Local,No,Y,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
230095,MIDMICHIGAN MEDICAL CENTER - WEST BRANCH,2463 SOUTH M-30,WEST BRANCH,MI,48661,9893456366,Acute Care Hospitals,Government - Local,Yes,Y,3,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
230096,STURGIS HOSPITAL,916 MYRTLE AVE,STURGIS,MI,49091,2696517824,Acute Care Hospitals,Government - Local,Yes,Y,3,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
230097,MUNSON MEDICAL CENTER,1105 SIXTH STREET,TRAVERSE CITY,MI,49684,2319355000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
230099,PROMEDICA MONROE REGIONAL HOSPITAL,718 N MACOMB ST,MONROE,MI,48162,7342408400,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
230100,TAWAS ST JOSEPH HOSPITAL,200 HEMLOCK,TAWAS CITY,MI,48764,9893629301,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Below the national average
230104,HARPER UNIVERSITY HOSPITAL,3990 JOHN R STREET,DETROIT,MI,48201,3137456211,Acute Care Hospitals,Proprietary,Yes,Y,2,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average
230105,MCLAREN NORTHERN MICHIGAN,416 CONNABLE AVE,PETOSKEY,MI,49770,2314874000,Acute Care Hospitals,Voluntary non-profit - Other,No,Y,5,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
230108,UP HEALTH SYSTEM PORTAGE,500 CAMPUS DRIVE,HANCOCK,MI,49930,9064831000,Acute Care Hospitals,Voluntary non-profit - Other,No,Y,3,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
230110,SPECTRUM HEALTH LUDINGTON HOSPITAL,ONE N ATKINSON DRIVE,LUDINGTON,MI,49431,2318432591,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
230117,BORGESS MEDICAL CENTER,1521 GULL ROAD,KALAMAZOO,MI,49048,2692267000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Below the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average
230118,HURON MEDICAL CENTER,1100 SOUTH VAN DYKE ROAD,BAD AXE,MI,48413,9892699521,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
230121,MEMORIAL HEALTHCARE,826 WEST KING STREET,OWOSSO,MI,48867,9897235211,Acute Care Hospitals,Voluntary non-profit - Other,No,Y,2,Below the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
230130,"BEAUMONT HOSPITAL, ROYAL OAK",3601 W THIRTEEN MILE RD,ROYAL OAK,MI,48073,2488985000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Above the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Below the national average,Same as the national average
230132,HURLEY MEDICAL CENTER,ONE HURLEY PLAZA,FLINT,MI,48503,8102579000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,1,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average
230133,MUNSON HEALTHCARE OTSEGO MEMORIAL HOSPITAL,825 N CENTER AVE,GAYLORD,MI,49735,9897312100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
230141,MCLAREN FLINT,401 S BALLENGER HIGHWAY,FLINT,MI,48532,8103422000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average
230142,BEAUMONT HOSPITAL - WAYNE,33155 ANNAPOLIS AVE,WAYNE,MI,48184,7344674175,Acute Care Hospitals,Voluntary non-profit - Private,No,Y,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
230144,FOREST HEALTH MEDICAL CENTER,135 S PROSPECT ST,YPSILANTI,MI,48198,7345474700,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Not Available
230146,HENRY FORD WYANDOTTE HOSPITAL,2333 BIDDLE AVE,WYANDOTTE,MI,48192,7342466000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average
230151,BEAUMONT HOSPITAL - FARMINGTON HILLS,28050 GRAND RIVER AVENUE,FARMINGTON HILLS,MI,48336,2484718000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
230156,ST JOSEPH MERCY HOSPITAL,5301 E HURON RIVER DR,ANN ARBOR,MI,48106,7347123456,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,Above the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
230165,ST JOHN HOSPITAL AND MEDICAL CENTER,22101 MOROSS RD,DETROIT,MI,48236,3133434000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average
230167,MCLAREN GREATER LANSING,401 W GREENLAWN AVE,LANSING,MI,48910,5179756000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Below the national average
230174,NORTH OTTAWA COMMUNITY HEALTH SYSTEM,1309 SHELDON RD,GRAND HAVEN,MI,49417,6168423600,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
230176,BEAUMONT HOSPITAL - TRENTON,5450 FORT STREET,TRENTON,MI,48183,7346713800,Acute Care Hospitals,Voluntary non-profit - Private,No,Y,4,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
230180,MIDMICHIGAN MEDICAL CENTER-CLARE,703 N MCEWAN ST,CLARE,MI,48617,9898025000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
230193,MCLAREN LAPEER REGION,1375 N MAIN ST,LAPEER,MI,48446,8106675500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
230195,ST JOHN MACOMB-OAKLAND HOSPITAL-MACOMB CENTER,11800 EAST TWELVE MILE ROAD,WARREN,MI,48093,5865735000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average
230197,GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK,ONE GENESYS PARKWAY,GRAND BLANC,MI,48439,8106065000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,2,Above the national average,Below the national average,Above the national average,Below the national average,Below the national average,Below the national average,Above the national average
230207,MCLAREN OAKLAND,50 NORTH PERRY,PONTIAC,MI,48342,2483385000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same as the national average,Below the national average,Above the national average,Below the national average,Below the national average,Above the national average,Below the national average
230208,SPARROW CARSON HOSPITAL,406 EAST ELM ST,CARSON CITY,MI,48811,9895843131,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
230216,MCLAREN PORT HURON,1221 PINE GROVE AVE,PORT HURON,MI,48060,8109875000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
230217,OAKLAWN HOSPITAL,200 N MADISON,MARSHALL,MI,49068,2697814271,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
230222,MIDMICHIGAN MEDICAL CENTER-MIDLAND,4000 WELLNESS DRIVE,MIDLAND,MI,48670,9898393000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,3,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
230227,MCLAREN MACOMB,1000 HARRINGTON BLVD,MOUNT CLEMENS,MI,48043,5864938000,Acute Care Hospitals,Proprietary,Yes,Y,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average
230230,EDWARD W SPARROW HOSPITAL,1215 E MICHIGAN AVENUE,LANSING,MI,48912,5173641000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,3,Below the national average,Above the national average,Above the national average,Below the national average,Above the national average,Below the national average,Above the national average
230236,METRO HEALTH HOSPITAL,"5900 BYRON CENTER AVENUE, SW",WYOMING,MI,49519,6162527200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
230239,CHIPPEWA COUNTY WAR MEMORIAL HOSPITAL,500 OSBORN BLVD,SAULT SAINTE MARIE,MI,49783,9066354460,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
230241,ST JOHN RIVER DISTRICT HOSPITAL,4100 RIVER RD,EAST CHINA,MI,48054,8103297111,Acute Care Hospitals,Government - Hospital District or Authority,No,Y,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
230244,GARDEN CITY HOSPITAL,6245 INKSTER RD,GARDEN CITY,MI,48135,7344213300,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
230254,ASCENSION CRITTENTON HOSPITAL,1101 W UNIVERSITY DRIVE,ROCHESTER,MI,48307,2486525000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
230259,ST JOSEPH MERCY CHELSEA,775 S MAIN ST,CHELSEA,MI,48118,7344753911,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
230264,SOUTHEAST MICHIGAN SURGICAL HOSPITAL,21230 DEQUINDRE ROAD,WARREN,MI,48091,5864271000,Acute Care Hospitals,Voluntary non-profit - Private,No,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available
230269,"BEAUMONT HOSPITAL, TROY",44201 DEQUINDRE ROAD,TROY,MI,48085,2489648800,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
230270,BEAUMONT HOSPITAL - TAYLOR,10000 TELEGRAPH ROAD,TAYLOR,MI,48180,3132955253,Acute Care Hospitals,Voluntary non-profit - Private,No,Y,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
230273,DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER,4201 ST ANTOINE ST - 3M,DETROIT,MI,48201,3137453104,Acute Care Hospitals,Proprietary,Yes,Y,2,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
230275,HEALTHSOURCE SAGINAW,3340 HOSPITAL ROAD,SAGINAW,MI,48603,9897907888,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
230277,HURON VALLEY-SINAI HOSPITAL,ONE WILLIAM CARLS DRIVE,COMMERCE TOWNSHIP,MI,48382,2489373370,Acute Care Hospitals,Proprietary,Yes,Y,2,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Below the national average
230279,BRIGHTON HOSPITAL,12851 GRAND RIVER RD,BRIGHTON,MI,48116,8102271211,Acute Care Hospitals,Voluntary non-profit - Private,No,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
230297,KARMANOS CANCER CENTER,4100 JOHN R,DETROIT,MI,48201,8005766266,Acute Care Hospitals,Proprietary,No,Y,3,Not Available,Same as the national average,Not Available,Above the national average,Same as the national average,Not Available,Not Available
230301,OAKLAND REGIONAL HOSPITAL,22401 FOSTER WINTER DRIVE,SOUTHFIELD,MI,48075,2484235100,Acute Care Hospitals,Proprietary,No,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Below the national average,Not Available,Not Available
230302,HENRY FORD WEST BLOOMFIELD HOSPITAL,6777 WEST MAPLE ROAD,WEST BLOOMFIELD,MI,48322,2483251000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
230303,MUNSON HEALTHCARE MANISTEE HOSPITAL,1465 E PARKDALE AVE,MANISTEE,MI,49660,2313981000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Below the national average
231300,PAUL OLIVER MEMORIAL HOSPITAL,224 PARK AVENUE,FRANKFORT,MI,49635,2313522200,Critical Access Hospitals,Government - Local,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
231301,KALKASKA MEMORIAL HEALTH CENTER,419 S CORAL,KALKASKA,MI,49646,2312587500,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Same as the national average
231303,SCHOOLCRAFT MEMORIAL HOSPITAL,7870W US HIGHWAY 2,MANISTIQUE,MI,49854,9063413200,Critical Access Hospitals,Government - Local,Yes,Y,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
231304,HELEN NEWBERRY JOY HOSPITAL,502 W HARRIE ST,NEWBERRY,MI,49868,9062939200,Critical Access Hospitals,Government - Local,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average
231305,SAINT MARYS STANDISH COMMUNITY HOSPITAL,805 W CEDAR ST,STANDISH,MI,48658,5178464521,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Y,4,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
231306,MACKINAC STRAITS HOSPITAL AND HEALTH CENTER,1140 N STATE STREET,SAINT IGNACE,MI,49781,9066438585,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4,Not Available,Not Available,Same as the national average,Above the national average,Same as the national average,Same as the national average,Not Available
231307,BARAGA COUNTY MEMORIAL HOSPITAL,18341 US HIGHWAY 41,L ANSE,MI,49946,9065243300,Critical Access Hospitals,Government - Local,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available
231308,MUNISING MEMORIAL HOSPITAL,1500 SAND POINT RD,MUNISING,MI,49862,9063874110,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Not Available
231309,"ASPIRUS ONTONAGON HOSPITAL, INC",601 S SEVENTH ST,ONTONAGON,MI,49953,9068848000,Critical Access Hospitals,Government - Local,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Above the national average,Same as the national average
231310,SCHEURER HOSPITAL,170 N CASEVILLE RD,PIGEON,MI,48755,9894533223,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Y,4,Not Available,Not Available,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
231311,DECKERVILLE COMMUNITY HOSPITAL,3559 PINE ST,DECKERVILLE,MI,48427,8103762835,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Not Available
231312,SHERIDAN COMMUNITY HOSPITAL,301 N MAIN ST,SHERIDAN,MI,48884,9892913261,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,Not Available,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average
231313,HARBOR BEACH COMMUNITY HOSPITAL,210 S FIRST ST,HARBOR BEACH,MI,48441,9894793201,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Not Available
231314,MCKENZIE HEALTH SYSTEM,120 N DELAWARE STREET,SANDUSKY,MI,48471,8106483770,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,Not Available,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average
231315,BORGESS-LEE MEMORIAL HOSPITAL,420 W HIGH STREET,DOWAGIAC,MI,49047,2697828681,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average
231316,HILLS & DALES GENERAL HOSPITAL,4675 HILL STREET,CASS CITY,MI,48726,9898722121,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available
231317,SPECTRUM HEALTH KELSEY HOSPITAL,418 WASHINGTON,LAKEVIEW,MI,48850,9893527211,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4,Not Available,Not Available,Same as the national average,Not Available,Not Available,Same as the national average,Same as the national average
231318,"ASPIRUS IRON RIVER HOSPITAL & CLINICS, INC",1400 W ICE LAKE ROAD,IRON RIVER,MI,49935,9062656121,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
231319,ASPIRUS KEWEENAW HOSPITAL,205 OSCEOLA,LAURIUM,MI,49913,9063376500,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Not Available,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
231320,MERCY HEALTH LAKESHORE CAMPUS,72 SOUTH STATE STREET,SHELBY,MI,49455,2318612156,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,Not Available,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average
